"title","url","maker","type","year","km","price"
"Mercedes-Benz C 300 Coupe AMG, 2.0 I-4 GCC wi...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/23/mercedes-benz-c-300-coupe-amg-20-i-4-gcc-w-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=23","Mercedes-Benz","C-Class","2017","44,000","174999"
"2018 Mercedes-Benz C 250 AMG 2.0L V4-Turbo GC...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/4/5/2018-mercedes-benz-c-43-amg-4matic-v6-bitu-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=24","Mercedes-Benz","C-Class","2018","0","172999"
"2017 C300 ( 2018 face lift ) panoramic roof ,...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/12/2017-c300-2018-face-lift-panoramic-roof-no-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAx&pos=25","Mercedes-Benz","C-Class","2017","26,000","99000"
"2012 Mercedes c200 GCC specs panoramic","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/9/sell-of-2012-mercedes-c200-blue-efficiency-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=27","Mercedes-Benz","C-Class","2012","99,000","47000"
"AMG original c300 coupe 3000km  + warranty","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/4/10/amg-original-c300-c63-kit-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=28","Mercedes-Benz","C-Class","2017","10,000","143000"
"2018 blue eyes brand new AMG 63 kit","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/2/28/free-paint-and-accident-c300-63kit-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=29","Mercedes-Benz","C-Class","2018","5,000","128000"
"Mercedes Benz C300 AMG 2015","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2018/2/21/mercedes-benz-c300-amg-2016-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=30","Mercedes-Benz","C-Class","2015","50,000","92000"
"MERCEDES BENZ C 200 GCC 2015","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2016/7/22/mercedes-benz-c200-gcc-2015-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=31","Mercedes-Benz","C-Class","2015","80,000","99000"
"Mercedes C200 Full option ORIGINAL paint unli...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/7/mercedes-c200-full-option-original-paint-u-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=32","Mercedes-Benz","C-Class","2018","69,000","155000"
"Mercedes Benz  C300 AMG 2016 Full options","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2016/7/12/mercedes-benz-c300-2012-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=33","Mercedes-Benz","C-Class","2016","7,500","99000"
"MERCEDES BENZ C300 coupe 2017 AMG","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2016/6/6/mercedec-benz-c300-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=34","Mercedes-Benz","C-Class","2017","16,000","134000"
"Mercedes Benz C300 AMG with 63 body kit","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2015/7/5/mercedes-benz-c300-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=35","Mercedes-Benz","C-Class","2016","60,000","98000"
"GCC-SPECS-MERCEDES C300 coupe AMG -ZERO DOWN ...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/22/gcc-specs-mercedes-c300-coupe-amg-zero-dow-2/?back=L21vdG9ycy91c2VkLWNhcnMvbWVyY2VkZXMtYmVuei9jLWNsYXNzLz9wYWdlPTAy&pos=36","Mercedes-Benz","C-Class","2017","73,000","175000"
