"title","url","maker","type","year","km","price"
"XT5 premium luxury (Ref. 120527)","https://dubai.dubizzle.com/motors/used-cars/cadillac/xt5/2018/11/6/xt5-premium-luxury-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=21","Cadillac","XT5","2017","19,400","144900"
"Valid warranty,Super excellent condition, C20...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/c-class/2019/1/24/valid-warranty-super-excellent-condition-c-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=22","Mercedes-Benz","C-Class","2015","64,000","105000"
"Super excellent condition Cayenne S,V8, Full ...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayenne/2019/1/22/super-excellent-condition-cayenne-s-v8-ful-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=23","Porsche","Cayenne","2012","103,000","84000"
"Super excellent condition,full options,FSH,GC...","https://dubai.dubizzle.com/motors/used-cars/volkswagen/touareg/2019/1/19/super-excellent-condition-full-options-fsh-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=24","Volkswagen","Touareg","2008","186,000","17500"
"2016 NISSAN SUNNY GCC ORIGINAL PAINT W/BLUETO...","https://dubai.dubizzle.com/motors/used-cars/nissan/sunny/2018/4/7/2014-nissan-sunny-gcc-well-and-perfect-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDE%3D&pos=25","Nissan","Sunny","2016","127,018","20500"
"AL Futtaim VOLVO XC90 MINT CONDITION 2014","https://dubai.dubizzle.com/motors/used-cars/volvo/xc90/2019/1/27/al-futtaim-volvo-xc90-mint-condition-2014-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=27","Volvo","XC90","2014","50,000","69500"
"VolksWagen CC Full Option R-Line edition 2.0","https://dubai.dubizzle.com/motors/used-cars/volkswagen/cc/2019/1/22/volkswagen-cc-full-option-r-line-edition-2-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=28","Volkswagen","CC","2012","104,000","35000"
"BEST PORSCHE CAYENNE GTS V8 IN TOWN!!! UNDER ...","https://dubai.dubizzle.com/motors/used-cars/porsche/cayenne/2018/11/29/best-porsche-cayenne-gts-v8-in-town-under--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=29","Porsche","Cayenne","2013","105,000","129000"
"2018 Ford Mustang GT Premium+, 5.0 V8 GCC, M/...","https://dubai.dubizzle.com/motors/used-cars/ford/mustang/2018/7/18/2018-ford-mustang-gt-premium-50-v8-gcc-mt--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=30","Ford","Mustang","2018","0","175999"
"GOOD DEAL!!RANGE ROVER SPORT 2016 FSH WARRANT...","https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover-sport/2018/12/16/range-rover-sports-2016-gcc-5-years-warran-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=31","Land Rover","Range Rover Sport","2016","73,000","225000"
"GOOD DEAL!!AUDI A6 2016 GCC FSH 1,110 AED MON...","https://dubai.dubizzle.com/motors/used-cars/audi/a6/2019/1/27/good-deal-audi-a6-2016-gcc-fsh-1-110-aed-m-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=32","Audi","A6","2016","95,000","73000"
"VW Tiguan RLine 2015 4motion WARRANTY TOP SPE...","https://dubai.dubizzle.com/motors/used-cars/volkswagen/tiguan/2019/1/22/vw-tiguan-rline-2015-4motion-top-spec-full-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=33","Volkswagen","Tiguan","2015","47,000","69000"
"Luxury Jaguar XF 2009 GCC. Top option. Low mi...","https://dubai.dubizzle.com/motors/used-cars/jaguar/xf/2018/12/2/jaguar-xf-2009-gcc-top-option-low-mileage-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=34","Jaguar","XF","2009","130,000","19500"
"HYUNDAI TUCSON FULL OPTION - HYUNDAI DEALER G...","https://dubai.dubizzle.com/motors/used-cars/hyundai/tucson/2019/1/28/hyundai-tucson-full-option-hyundai-dealer--2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=35","Hyundai","Tucson","2016","39,542","62999"
"Mercedes ML350 AED 1950 P.M with 0% D.P under...","https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/m-class/2018/10/28/mercedes-ml-350-aed-2126-pm-with-0-down-pa-2/?back=L21vdG9ycy91c2VkLWNhcnMvP3BhZ2U9MDI%3D&pos=36","Mercedes-Benz","M-Class","2014","61,000","99900"
